Borough,Area
Kensington and Chelsea,4.68
Islington,5.74
Hammersmith and Fulham,6.33
Hackney,7.36
Tower Hamlets,7.63
Westminster,8.29
Camden,8.4
Lambeth,10.36
Southwark,11.14
Haringey,11.42
Wandsworth,13.23
Lewisham,13.57
Barking and Dagenham,13.93
Newham,13.98
Kingston upon Thames,14.38
Merton,14.52
Waltham Forest,14.99
Brent,16.7
Sutton,16.93
Greenwich,18.28
Harrow,19.49
Ealing,21.44
Hounslow,21.61
Redbridge,21.78
Richmond upon Thames,22.17
Bexley,23.38
Enfield,31.74
Croydon,33.41
Barnet,33.49
Havering,43.35
Hillingdon,44.67
Bromley,57.97
