neighbourhood_cleansed,Unnamed: 0,host_total_listings_count,latitude,longitude,minimum_nights,availability_365,price
Barking and Dagenham,56468.0,166.0,51.5406,0.12052,3.0,364.0,2550.0
Barnet,48518.5,21.0,51.587098778559124,-0.21305000000000002,3.0,329.5,2662.5
Bexley,60043.0,32.0,51.46314,0.1760070664608377,3.0,360.0,2550.0
Brent,53501.0,27.0,51.54954227322127,-0.23597,3.0,325.0,1875.0
Bromley,58873.0,9.5,51.378659999999996,0.10478,2.0,356.0,2700.0
Camden,52848.5,34.0,51.52984585,-0.137025,2.0,306.0,3360.0
City of London,49233.0,33.0,51.51217557915416,-0.077001307171836,2.0,331.0,4125.0
Croydon,57028.0,24.0,51.382702,-0.09699,3.0,334.0,1515.0
Ealing,51025.0,18.0,51.51018,-0.28928,2.0,330.0,1845.0
Enfield,52743.0,15.0,51.6482,-0.0805,2.0,339.0,2550.0
Greenwich,48295.0,25.0,51.49108,0.06493,3.0,319.0,2700.0
Hackney,45873.5,32.0,51.53102,-0.077805,2.0,298.0,2250.0
Hammersmith and Fulham,51400.0,15.0,51.48807,-0.20825,2.0,318.0,2700.0
Haringey,53526.0,25.0,51.58084,-0.09412,3.0,316.0,2100.0
Harrow,55112.5,20.0,51.580828554349395,-0.3362418757945628,2.0,351.5,2100.0
Havering,33118.5,20.0,51.575064999999995,0.18527,3.0,358.0,2325.0
Hillingdon,52716.5,27.5,51.485834999999994,-0.46109500000000003,2.0,352.0,2400.0
Hounslow,58772.0,39.0,51.47979,-0.3579915,2.0,346.0,2550.0
Islington,46530.0,17.0,51.53740157753264,-0.10983096822536606,2.0,315.5,2737.5
Kensington and Chelsea,48049.5,33.5,51.494245,-0.18710124710915726,3.0,303.0,3915.0
Kingston upon Thames,50529.0,12.0,51.394791,-0.2947496711199184,2.0,322.0,1860.0
Lambeth,52445.5,15.5,51.479614999999995,-0.11817430878069525,2.0,304.5,2962.5
Lewisham,53228.0,15.0,51.44699351748986,-0.02307,3.0,304.0,2085.0
Merton,49284.0,44.0,51.4168669,-0.1990551,2.0,333.0,2250.0
Newham,53523.5,12.0,51.52041027129765,0.01918221656057155,3.0,345.0,3450.0
Redbridge,47805.0,9.0,51.57318,0.06825,1.0,360.0,2070.0
Richmond upon Thames,43383.0,11.0,51.44857665689658,-0.3136,2.0,305.0,2250.0
Southwark,50698.0,17.0,51.49501,-0.0861,2.0,315.0,3000.0
Sutton,62881.5,50.5,51.353443792877584,-0.188425,3.0,356.0,2272.5
Tower Hamlets,48289.5,28.0,51.516414999999995,-0.06810163716800299,2.0,319.0,3390.0
Waltham Forest,33330.0,23.0,51.57208712590203,-0.009765,3.0,324.5,2415.0
Wandsworth,52321.0,34.0,51.46358,-0.1678355375885648,3.0,305.0,3405.0
Westminster,53566.5,34.0,51.5142252,-0.15573202351574975,2.0,315.0,4065.0
