,longitude,latitude
0,-0.14094,51.52195
1,-0.14035,51.52197
2,-0.22942,51.49547
3,-0.22864,51.49547
4,-0.13859,51.52216
5,-0.117145,51.46201
6,-0.33563,51.40644
7,-0.10577,51.52022
8,-0.06646,51.51061
9,-0.08094,51.52932
10,-0.27161,51.48775
11,-0.19842,51.51109
12,-0.01948,51.44306
13,-0.02275,51.44359
14,-0.02309,51.44355
15,-0.02307,51.44333
16,-0.02328,51.44353
17,-0.02195,51.44151
18,-0.02122,51.44346
19,-0.178,51.42229
20,-0.05175,51.43951
21,-0.17789,51.42328
22,-0.30935,51.49254
23,-0.17348,51.55653
24,-0.15062,51.46713
25,-0.07869,51.52412
26,-0.11291,51.53642
27,-0.19946,51.54232
28,-0.08259,51.53237
29,-0.39478,51.47789
30,-0.1778,51.41447
31,-0.16609,51.54796
32,-0.10754,51.50202
33,-0.18925,51.48578
34,-0.12649,51.51334
35,-0.19178,51.4907
36,-0.16781,51.45935
37,-0.1282,51.51293
38,0.01308,51.49688
39,-0.27753,51.50974
40,-0.21952,51.59327
41,-0.08197,51.53066
42,-0.16467,51.55048
43,-0.19595,51.51954
44,-0.11603,51.48731
45,-0.27749,51.50935
46,-0.03821,51.59639
47,-0.22784,51.49497
48,-0.12649,51.51334
49,-0.20262,51.47179
50,-0.04079,51.49284
51,-0.04291,51.49211
52,-0.21118,51.54193
53,-0.31177,51.41277
54,-0.18919,51.494
55,-0.11179,51.48251
56,-0.16605,51.54795
57,-0.26898,51.48984
58,-0.08562,51.54978
59,-0.19954,51.48348
60,-0.07214,51.54746
61,-0.12649,51.51334
62,-0.09163,51.5058
63,-0.13733,51.52198
64,-0.06903,51.52411
65,-0.1408,51.52099
66,-0.02608,51.58824
67,-0.14082,51.51923
68,-0.19954,51.48348
69,-0.18781,51.51607
70,-0.04108,51.49252
71,-0.1386,51.51934
72,-0.13889,51.52026
73,0.01294,51.4968
74,-0.07116,51.52378
75,-0.20491,51.51895
76,-0.13851,51.4575
77,-0.16574,51.54899
78,-0.12466,51.51127
79,-0.17971,51.50056
80,-0.23468,51.53437
81,-0.20208,51.47675
82,-0.21326,51.51548
83,-0.03194,51.59948
84,-0.21211,51.47517
85,-0.1924,51.48769
86,0.01001,51.56484
87,-0.08178,51.53327
88,0.00838,51.56092
89,0.01001,51.56484
